date,weekday,weekday_int,d,event
2011-01-29,Saturday,1,d_1,
2011-01-30,Sunday,2,d_2,
2011-01-31,Monday,3,d_3,
2011-02-01,Tuesday,4,d_4,
2011-02-02,Wednesday,5,d_5,
2011-02-03,Thursday,6,d_6,
2011-02-04,Friday,7,d_7,
2011-02-05,Saturday,1,d_8,
2011-02-06,Sunday,2,d_9,SuperBowl
2011-02-07,Monday,3,d_10,
2011-02-08,Tuesday,4,d_11,
2011-02-09,Wednesday,5,d_12,
2011-02-10,Thursday,6,d_13,
2011-02-11,Friday,7,d_14,
2011-02-12,Saturday,1,d_15,
2011-02-13,Sunday,2,d_16,
2011-02-14,Monday,3,d_17,
2011-02-15,Tuesday,4,d_18,
2011-02-16,Wednesday,5,d_19,
2011-02-17,Thursday,6,d_20,
2011-02-18,Friday,7,d_21,
2011-02-19,Saturday,1,d_22,
2011-02-20,Sunday,2,d_23,
2011-02-21,Monday,3,d_24,
2011-02-22,Tuesday,4,d_25,
2011-02-23,Wednesday,5,d_26,
2011-02-24,Thursday,6,d_27,
2011-02-25,Friday,7,d_28,
2011-02-26,Saturday,1,d_29,
2011-02-27,Sunday,2,d_30,
2011-02-28,Monday,3,d_31,
2011-03-01,Tuesday,4,d_32,
2011-03-02,Wednesday,5,d_33,
2011-03-03,Thursday,6,d_34,
2011-03-04,Friday,7,d_35,
2011-03-05,Saturday,1,d_36,
2011-03-06,Sunday,2,d_37,
2011-03-07,Monday,3,d_38,
2011-03-08,Tuesday,4,d_39,
2011-03-09,Wednesday,5,d_40,
2011-03-10,Thursday,6,d_41,
2011-03-11,Friday,7,d_42,
2011-03-12,Saturday,1,d_43,
2011-03-13,Sunday,2,d_44,
2011-03-14,Monday,3,d_45,
2011-03-15,Tuesday,4,d_46,
2011-03-16,Wednesday,5,d_47,
2011-03-17,Thursday,6,d_48,
2011-03-18,Friday,7,d_49,
2011-03-19,Saturday,1,d_50,
2011-03-20,Sunday,2,d_51,
2011-03-21,Monday,3,d_52,
2011-03-22,Tuesday,4,d_53,
2011-03-23,Wednesday,5,d_54,
2011-03-24,Thursday,6,d_55,
2011-03-25,Friday,7,d_56,
2011-03-26,Saturday,1,d_57,
2011-03-27,Sunday,2,d_58,
2011-03-28,Monday,3,d_59,
2011-03-29,Tuesday,4,d_60,
2011-03-30,Wednesday,5,d_61,
2011-03-31,Thursday,6,d_62,
2011-04-01,Friday,7,d_63,
2011-04-02,Saturday,1,d_64,
2011-04-03,Sunday,2,d_65,
2011-04-04,Monday,3,d_66,
2011-04-05,Tuesday,4,d_67,
2011-04-06,Wednesday,5,d_68,
2011-04-07,Thursday,6,d_69,
2011-04-08,Friday,7,d_70,
2011-04-09,Saturday,1,d_71,
2011-04-10,Sunday,2,d_72,
2011-04-11,Monday,3,d_73,
2011-04-12,Tuesday,4,d_74,
2011-04-13,Wednesday,5,d_75,
2011-04-14,Thursday,6,d_76,
2011-04-15,Friday,7,d_77,
2011-04-16,Saturday,1,d_78,
2011-04-17,Sunday,2,d_79,
2011-04-18,Monday,3,d_80,
2011-04-19,Tuesday,4,d_81,
2011-04-20,Wednesday,5,d_82,
2011-04-21,Thursday,6,d_83,
2011-04-22,Friday,7,d_84,
2011-04-23,Saturday,1,d_85,
2011-04-24,Sunday,2,d_86,
2011-04-25,Monday,3,d_87,
2011-04-26,Tuesday,4,d_88,
2011-04-27,Wednesday,5,d_89,
2011-04-28,Thursday,6,d_90,
2011-04-29,Friday,7,d_91,
2011-04-30,Saturday,1,d_92,
2011-05-01,Sunday,2,d_93,
2011-05-02,Monday,3,d_94,
2011-05-03,Tuesday,4,d_95,
2011-05-04,Wednesday,5,d_96,
2011-05-05,Thursday,6,d_97,
2011-05-06,Friday,7,d_98,
2011-05-07,Saturday,1,d_99,
2011-05-08,Sunday,2,d_100,
2011-05-09,Monday,3,d_101,
2011-05-10,Tuesday,4,d_102,
2011-05-11,Wednesday,5,d_103,
2011-05-12,Thursday,6,d_104,
2011-05-13,Friday,7,d_105,
2011-05-14,Saturday,1,d_106,
2011-05-15,Sunday,2,d_107,
2011-05-16,Monday,3,d_108,
2011-05-17,Tuesday,4,d_109,
2011-05-18,Wednesday,5,d_110,
2011-05-19,Thursday,6,d_111,
2011-05-20,Friday,7,d_112,
2011-05-21,Saturday,1,d_113,
2011-05-22,Sunday,2,d_114,
2011-05-23,Monday,3,d_115,
2011-05-24,Tuesday,4,d_116,
2011-05-25,Wednesday,5,d_117,
2011-05-26,Thursday,6,d_118,
2011-05-27,Friday,7,d_119,
2011-05-28,Saturday,1,d_120,
2011-05-29,Sunday,2,d_121,
2011-05-30,Monday,3,d_122,
2011-05-31,Tuesday,4,d_123,
2011-06-01,Wednesday,5,d_124,
2011-06-02,Thursday,6,d_125,
2011-06-03,Friday,7,d_126,
2011-06-04,Saturday,1,d_127,
2011-06-05,Sunday,2,d_128,
2011-06-06,Monday,3,d_129,
2011-06-07,Tuesday,4,d_130,
2011-06-08,Wednesday,5,d_131,
2011-06-09,Thursday,6,d_132,
2011-06-10,Friday,7,d_133,
2011-06-11,Saturday,1,d_134,
2011-06-12,Sunday,2,d_135,
2011-06-13,Monday,3,d_136,
2011-06-14,Tuesday,4,d_137,
2011-06-15,Wednesday,5,d_138,
2011-06-16,Thursday,6,d_139,
2011-06-17,Friday,7,d_140,
2011-06-18,Saturday,1,d_141,
2011-06-19,Sunday,2,d_142,
2011-06-20,Monday,3,d_143,
2011-06-21,Tuesday,4,d_144,
2011-06-22,Wednesday,5,d_145,
2011-06-23,Thursday,6,d_146,
2011-06-24,Friday,7,d_147,
2011-06-25,Saturday,1,d_148,
2011-06-26,Sunday,2,d_149,
2011-06-27,Monday,3,d_150,
2011-06-28,Tuesday,4,d_151,
2011-06-29,Wednesday,5,d_152,
2011-06-30,Thursday,6,d_153,
2011-07-01,Friday,7,d_154,
2011-07-02,Saturday,1,d_155,
2011-07-03,Sunday,2,d_156,
2011-07-04,Monday,3,d_157,
2011-07-05,Tuesday,4,d_158,
2011-07-06,Wednesday,5,d_159,
2011-07-07,Thursday,6,d_160,
2011-07-08,Friday,7,d_161,
2011-07-09,Saturday,1,d_162,
2011-07-10,Sunday,2,d_163,
2011-07-11,Monday,3,d_164,
2011-07-12,Tuesday,4,d_165,
2011-07-13,Wednesday,5,d_166,
2011-07-14,Thursday,6,d_167,
2011-07-15,Friday,7,d_168,
2011-07-16,Saturday,1,d_169,
2011-07-17,Sunday,2,d_170,
